image,awcrs310_add,unité,unité1,unité2,description,spanwcrs310_origine,image3,image4,image5,awcrs310_add2list
https://fd3-photos.leclercdrive.fr/image.ashx?id=2020518&use=l&cat=p&typeid=i,Ajouter Produit,                     3                 ,"                     ,19                 ","                     4,56 € / l                 ",Sirop La Maison Guiot                     Cerise - 70cl                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=34&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=1941137&use=l&cat=p&typeid=i,Ajouter Produit,                     2                 ,"                     ,94                 ","                     4,20 € / l                 ",Sirop La Maison Guiot                     Grenadine - 70cl                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=34&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2132685&use=l&cat=p&typeid=i,Ajouter Produit,                     3                 ,"                     ,38                 ","                     4,83 € / l                 ",Sirop La Maison Guiot                     Fruits exotiques - 70cl                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=34&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2014832&use=l&cat=p&typeid=i,Ajouter Produit,                     3                 ,"                     ,28                 ","                     4,69 € / l                 ",Sirop La Maison Guiot                     Violette - 70cl                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=34&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2020512&use=l&cat=p&typeid=i,Ajouter Produit,                     3                 ,"                     ,24                 ","                     4,63 € / l                 ",Sirop La Maison Guiot                     Citron jaune de Sicile - 70cl                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=34&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=1917842&use=l&cat=p&typeid=i,Ajouter Produit,                     3                 ,"                     ,34                 ","                     4,77 € / l                 ",Sirop La Maison Guiot                     Pêche blanche - 70cl                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=34&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2229968&use=l&cat=p&typeid=i,Ajouter Produit,                     3                 ,"                     ,37                 ","                     6,74 € / l                 ",Sirop Bio La Maison Guiot                     Pour Citronnade - 50cl                  ,,https://fd3-photos.leclercdrive.fr/PictoLabelQualite.ashx?id=10&mindim=25&v=2,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=39&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2262653&use=l&cat=p&typeid=i,Ajouter Produit,                     5                 ,"                     ,99                 ","                     13,61 € / l                 ",Concentré Sodastream                     Pepsi - 440ml                  ,,,,,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2561958&use=l&cat=p&typeid=i,Ajouter Produit,                     5                 ,"                     ,99                 ","                     13,61 € / l                 ",Concentré Sodastream                     Pepsi Max- 440ml                  ,,,,,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2262659&use=l&cat=p&typeid=i,Ajouter Produit,                     5                 ,"                     ,99                 ","                     13,61 € / l                 ",Concentré Sodastream                     7UP - 440ml                  ,,,,,"Ajouter à mes listes
 "
