Titre,Lien_du_titre,image,prix,étiquette,motclé,pltext,unité,dsproductcardrefonte_origintext,image1,dsproductcardrefonte_shimzonesmall
 Viande de bœuf : entrecôte *** FILIERE QUALITE CARREFOUR ,https://www.carrefour.fr/p/viande-de-boeuf-entrecote-filiere-qualite-carrefour-3276559967942?t=1922,https://media.carrefour.fr/medias/d09ad829ebae3b7b92fc0ffb44c5eb8f/p_200x200/3276559967942-0.jpg," 6,07 ",, la pièce - 220g  27.60 € / KG , la pièce - 220g , 27.60 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-common-qualityline.svg, 27.60 € / KG 
 Saucisses fumées spécial potée CARREFOUR ,https://www.carrefour.fr/p/saucisses-fumees-special-potee-carrefour-3245414231146?t=1922,https://media.carrefour.fr/medias/17472c3bd88132eca77113388eba5a93/p_200x200/3245414231146-photosite-20190503-135428-0.jpg," 3,50 ",, 4 pièces  la barquette de 4 - 360g  9.72 € / KG , la barquette de 4 - 360g , 9.72 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-common-vpf.svg, 4 pièces 
 Saucisse brasse CARREFOUR BIO ,https://www.carrefour.fr/p/saucisse-brasse-carrefour-bio-3245415692229?t=1922,https://media.carrefour.fr/medias/8bd7bd1d38c6304d9a32696c2682b9ba/p_200x200/3245415692229-photosite-20190412-132455-1.jpg," 5,00 ", Prime Bio , la pièce  la barquette de 350g  14.29 € / KG , la barquette de 350g , 14.29 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, la pièce 
 Chipolatas porc CARREFOUR BIO ,https://www.carrefour.fr/p/chipolatas-porc-carrefour-bio-3245415698672?t=1922,," 5,40 ", Prime Bio , 6 pièces  la barquette de 6 - 300g  18.00 € / KG , la barquette de 6 - 300g , 18.00 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 6 pièces 
 Yaourt nature PERLE DE LAIT ,https://www.carrefour.fr/p/yaourt-nature-perle-de-lait-3329770080119?t=36995,https://media.carrefour.fr/medias/568dc9c47b0b34efa33baaf2c7bc7da1/p_200x200/03329770080119-c1n1-s03.jpg," 1,99 ",, 4x125g  Les 4 pots de 125g  3.98 € / KG , Les 4 pots de 125g , 3.98 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-c.svg, 4x125g 
 Yaourt aromatisé vanille citron amande coco brassé PERLE DE LAIT ,https://www.carrefour.fr/p/yaourt-aromatise-vanille-citron-amande-coco-brasse-perle-de-lait-3329770075092?t=36995,https://media.carrefour.fr/medias/47687d4494423fb8a313fa1b30026f90/p_200x200/03329770075092-c1r1-s06.jpg," 3,75 ",, 8x125g  Les 8 pots de 125g  3.75 € / KG , Les 8 pots de 125g , 3.75 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-c.svg, 8x125g 
 Yaourt nature sur fruits jaunes pêche abricot ananas PANIER DE YOPLAIT ,https://www.carrefour.fr/p/yaourt-nature-sur-fruits-jaunes-peche-abricot-ananas-panier-de-yoplait-3329770060876?t=36995,https://media.carrefour.fr/medias/82443429dd9a38afbb2bac72040efe2d/p_200x200/03329770060876-c1r1-s10.jpg," 3,19 ",, 6x140g  Les 6 pots de 140g  3.80 € / KG , Les 6 pots de 140g , 3.80 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-c.svg, 6x140g 
 Yaourt enfants fruits mixés fraise framboise abricot banane fruits rouges pêche PETITS FILOUS ,https://www.carrefour.fr/p/yaourt-enfants-fruits-mixes-fraise-framboise-abricot-banane-fruits-rouges-peche-petits-filous-3329770058897?t=36995,," 2,55 ",, 12x50g  Les 12 pots de 50g  4.25 € / KG , Les 12 pots de 50g , 4.25 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 12x50g 
 Skyr nature 0% MG YOPLAIT ,https://www.carrefour.fr/p/skyr-nature-0-mg-yoplait-3329770073265?t=36995,https://media.carrefour.fr/medias/0e4be3df5d3a3f9fb24e96ff41cddacd/p_200x200/03329770073265-c1r1-s10.jpg," 2,09 ",, 4x100g  Les 4 pots de 100g  5.22 € / KG , Les 4 pots de 100g , 5.22 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-fatfree.svg, 4x100g 
 Yaourt de chèvre nature SOIGNON ,https://www.carrefour.fr/p/yaourt-de-chevre-nature-soignon-3523230014267?t=36995,https://media.carrefour.fr/medias/c77c8349188c3524ba71211f7c87d7a8/p_200x200/03523230014267-h1n1-s32.jpg," 2,55 ",, 4 pots  les 4 pots de 125 g  5.10 € / KG , les 4 pots de 125 g , 5.10 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 4 pots 
 Yaourt nature CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/yaourt-nature-carrefour-classic-3270190021438?t=36995,," 2,39 ", Prime Nutri-Score A , 16 pots  les 16 pots de 125g  1.20 € / KG , les 16 pots de 125g , 1.20 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 16 pots 
 Yaourt nature CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/yaourt-nature-carrefour-classic-3560070930982?t=36995,," 1,85 ", Prime Nutri-Score A , 12 pots  les 12 pots de 125g  1.23 € / KG , les 12 pots de 125g , 1.23 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 12 pots 
 Yaourt nature 0% MG CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/yaourt-nature-0-mg-carrefour-classic-3270190022077?t=36995,," 1,95 ", Prime Nutri-Score A , 12 pots  les 12 pots de 125g  1.30 € / KG , les 12 pots de 125g , 1.30 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-fatfree.svg, 12 pots 
 Yaourt nature CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/yaourt-nature-carrefour-classic-3560071016944?t=36995,," 0,65 ", Prime Nutri-Score A , 4 Pots  les 4 pots de 125g  1.30 € / KG , les 4 pots de 125g , 1.30 € / KG ,,, 4 Pots 
 Yaourt nature sucré   CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/yaourt-nature-sucre-carrefour-classic-3560070816323?t=36995,," 2,95 ",, 16 pots  les 16 pots de 125g  1.48 € / KG , les 16 pots de 125g , 1.48 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-c.svg, 16 pots 
 Yaourt nature brassé CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/yaourt-nature-brasse-carrefour-classic-3270190023821?t=36995,," 2,99 ",, 16 Pots  les 16 pots de 125g  1.50 € / KG , les 16 pots de 125g , 1.50 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 16 Pots 
 Yaourts aromatisés ,https://www.carrefour.fr/p/yaourts-aromatises-3456776721071?t=36995,," 0,78 ",, les 4 pots de 125g  1.56 € / KG , les 4 pots de 125g , 1.56 € / KG ,,, 1.56 € / KG 
 Yaourts aromatisés CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/yaourts-aromatises-carrefour-classic-3560070354375?t=36995,," 2,35 ",, 12 pots  les 12 yaourts de 125g  1.57 € / KG , les 12 yaourts de 125g , 1.57 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 12 pots 
 Fromage blanc 0% SIMPL ,https://www.carrefour.fr/p/fromage-blanc-0-simpl-3245414638853?t=36995,," 1,59 ",, 1 pot  le pot d'1Kg  1.59 € / KG , le pot d'1Kg , 1.59 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-fatfree.svg, 1 pot 
 Lait Frais Entier Bio CARREFOUR BIO ,https://www.carrefour.fr/p/lait-frais-entier-bio-carrefour-bio-3560070475742?t=36995,," 1,64 ", Prime Bio , 1 L  la bouteille d'1L  1.64 € / L , la bouteille d'1L , 1.64 € / L ,,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 1 L 
 Yaourt nature brassé CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/yaourt-nature-brasse-carrefour-classic-3270190023814?t=36995,," 1,65 ",, 8 Pots  les 8 pots de 125g  1.65 € / KG , les 8 pots de 125g , 1.65 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 8 Pots 
 Yaourt bifidus nature CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/yaourt-bifidus-nature-carrefour-classic-3270190021322?t=36995,," 2,49 ",, 12 pots  les 12 pots de 125g  1.66 € / KG , les 12 pots de 125g , 1.66 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 12 pots 
 Yaourt fruits mixés brassé CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/yaourt-fruits-mixes-brasse-carrefour-classic-3245412897993?t=36995,," 3,45 ",, 16 pots  les 16 pots de 125g  1.72 € / KG , les 16 pots de 125g , 1.72 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 16 pots 
 Yaourt bio nature CARREFOUR BIO ,https://www.carrefour.fr/p/yaourt-bio-nature-carrefour-bio-3245413442338?t=36995,," 2,59 ", Prime Bio , 12 pots  les 12 pots de 125g  1.73 € / KG , les 12 pots de 125g , 1.73 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 12 pots 
 Fromage blanc SIMPL ,https://www.carrefour.fr/p/fromage-blanc-simpl-3245414638938?t=36995,," 1,79 ",, 1 pot  le pot d'1Kg  1.79 € / KG , le pot d'1Kg , 1.79 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 1 pot 
 Yaourt nature Bio CARREFOUR BIO ,https://www.carrefour.fr/p/yaourt-nature-bio-carrefour-bio-3560070845408?t=36995,https://media.carrefour.fr/medias/72344f1fe64c31f39b4d489c54783617/p_200x200/3560070845408-photosite-20161003-081835-0.jpg," 0,90 ", Prime Bio , 4 pots  les 4 pots de 125g  1.80 € / KG , les 4 pots de 125g , 1.80 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 4 pots 
 Yaourt Bifidus vanille CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/yaourt-bifidus-vanille-carrefour-classic-3245412570490?t=36995,https://media.carrefour.fr/medias/cca5f73f18123d159c79142f4d120600/p_200x200/3245412570490-photosite-20210528-182443-0.jpg," 2,85 ",, 12 pots  les 12 pots de 125g  1.90 € / KG , les 12 pots de 125g , 1.90 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 12 pots 
 Yaourts à boire Ptit'Yab framboise CARREFOUR SENSATION ,https://www.carrefour.fr/p/yaourts-a-boire-ptit-yab-framboise-carrefour-sensation-3560071421694?t=36995,https://media.carrefour.fr/medias/f51adc87f92437f4b57b9bad37b08211/p_200x200/3560071421694-0.jpg," 2,09 ",, 6 bouteilles  les 6 bouteilles de 180g  1.94 € / KG , les 6 bouteilles de 180g , 1.94 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 6 bouteilles 
 Fromage blanc nature 3% MG CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/fromage-blanc-nature-3-mg-carrefour-classic-3270190021087?t=36995,https://media.carrefour.fr/medias/8ed0487021453b329763642699112261/p_200x200/3270190021087-photosite-20210611-211848-0.jpg," 1,95 ", Prime Nutri-Score A , 1 pot  le pot d'1Kg  1.95 € / KG , le pot d'1Kg , 1.95 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 1 pot 
 Yaourt aux fruits avec morceaux CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/yaourt-aux-fruits-avec-morceaux-carrefour-classic-3270190023302?t=36995,https://media.carrefour.fr/medias/dc85b5083df23c0bbb935cd0c37a56b1/p_200x200/3270190023302-photosite-20210820-180445-0.jpg," 3,95 ",, 16 Pots  les 16 pots de 125g  1.98 € / KG , les 16 pots de 125g , 1.98 € / KG ,,, 16 Pots 
 Fromage blanc nature 0% MG CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/fromage-blanc-nature-0-mg-carrefour-classic-3270190020936?t=36995,https://media.carrefour.fr/medias/814294f3510536b68cab6f1c44534ddc/p_200x200/3270190020936-photosite-20210601-185240-0.jpg," 1,99 ", Prime Nutri-Score A , 1 pot  le pot d'1Kg  1.99 € / KG , le pot d'1Kg , 1.99 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-fatfree.svg, 1 pot 
 Yaourt À Boire Saveur Vanille ,https://www.carrefour.fr/p/yaourt-a-boire-saveur-vanille-3412290005165?t=36995,https://media.carrefour.fr/medias/183b23e3329c306b9b967ad77f966e0a/p_200x200/3412290005165-0.jpg," 0,38 ",, 180g  la bouteille de 180g  2.11 € / KG , la bouteille de 180g , 2.11 € / KG ,,, 180g 
 Yaourts pâtissiers 6 recettes CARREFOUR ORIGINAL ,https://www.carrefour.fr/p/yaourts-patissiers-6-recettes-carrefour-original-3560071416652?t=36995,https://media.carrefour.fr/medias/e3059d2cca7734af8fb39a57c5b1bdf4/p_200x200/3560071416652-0.jpg," 3,19 ",, les 12 pots de 125g  2.13 € / KG , les 12 pots de 125g , 2.13 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 2.13 € / KG 
 Yaourt à boire vanille fraise framboise petit yab CARREFOUR SENSATION ,https://www.carrefour.fr/p/yaourt-a-boire-vanille-fraise-framboise-petit-yab-carrefour-sensation-3560071221522?t=36995,https://media.carrefour.fr/medias/2d6fdaf0cb9c3ec7bb557ac1110b382b/p_200x200/3560071221522-0.jpg," 2,39 ",, 6 bouteilles  les 6 bouteilles de 180g  2.21 € / KG , les 6 bouteilles de 180g , 2.21 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 6 bouteilles 
 Pain tranché farines complètes CARREFOUR ORIGINAL ,https://www.carrefour.fr/p/pain-tranche-farines-completes-carrefour-original-3560071499402?t=29019,https://media.carrefour.fr/medias/1c58b4bc6a3831e3a974455fedb707ac/p_200x200/3560071499402-0.jpg," 2,75 ",, le paquet de 8 tranches - 500g  5.50 € / KG , le paquet de 8 tranches - 500g , 5.50 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 5.50 € / KG 
 Pavé tranché nature CARREFOUR ORIGINAL ,https://www.carrefour.fr/p/pave-tranche-nature-carrefour-original-3560071499433?t=29019,https://media.carrefour.fr/medias/2f74cc73ece831f7bb3717d47fb5422f/p_200x200/3560071499433-photosite-2023129-214122-1.jpg," 2,39 ",, le pain de 400g  5.98 € / KG , le pain de 400g , 5.98 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 5.98 € / KG 
 Baguette CARREFOUR BIO ,https://www.carrefour.fr/p/baguette-carrefour-bio-3276559526392?t=29019,https://media.carrefour.fr/medias/a505baafa1693feda68a3a341011e2ce/p_200x200/3276559526392-photosite-20171021-043833-0.jpg," 1,29 ", Prime Bio , 250g  la baguette de 250g  5.16 € / KG , la baguette de 250g , 5.16 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 250g 
 Baguette Bio aux graines CARREFOUR BIO ,https://www.carrefour.fr/p/baguette-bio-aux-graines-carrefour-bio-3523680416802?t=29019,," 1,39 ", Prime Bio , 250g  la baguette de 250g  5.56 € / KG , la baguette de 250g , 5.56 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 250g 
 Baguette CARREFOUR BIO ,https://www.carrefour.fr/p/baguette-carrefour-bio-3276550086963?t=29019,," 1,29 ", Prime Bio , 250g  la baguette de 250g  5.16 € / KG , la baguette de 250g , 5.16 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 250g 
 Baguette bio aux graines CARREFOUR BIO ,https://www.carrefour.fr/p/baguette-bio-aux-graines-carrefour-bio-3523680353671?t=29019,," 1,39 ", Prime Bio , 250g  la baguette de 250g  5.56 € / KG , la baguette de 250g , 5.56 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 250g 
 Baguettes Rustiques ,https://www.carrefour.fr/p/baguettes-rustiques-3276550272403?t=29019,," 2,97 ",, 4 pièces  le lot de 3 + 1 offerte  2.97 € / KG , le lot de 3 + 1 offerte , 2.97 € / KG ,,, 4 pièces 
 Baguettes ,https://www.carrefour.fr/p/baguettes-3276550350606?t=29019,," 2,97 ",, 4 pièces  le lot de 3 + 1 offerte  2.97 € / KG , le lot de 3 + 1 offerte , 2.97 € / KG ,,, 4 pièces 
 Baguette Campagnarde FILIERE QUALITE CARREFOUR ,https://www.carrefour.fr/p/baguette-campagnarde-filiere-qualite-carrefour-3276550350613?t=29019,," 2,97 ",, 4 pièces  le lot de 3 + 1 offerte de 250g  2.97 € / KG , le lot de 3 + 1 offerte de 250g , 2.97 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-qualityline.svg, 4 pièces 
 Baguettes campagnardes FILIERE QUALITE CARREFOUR ,https://www.carrefour.fr/p/baguettes-campagnardes-filiere-qualite-carrefour-3276550272410?t=29019,," 2,97 ",, 4 pièces  Lot de 3+1 offerte  2.97 € / KG , Lot de 3+1 offerte , 2.97 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-qualityline.svg, 4 pièces 
 Baguette Rustique cuite sur place CARREFOUR ,https://www.carrefour.fr/p/baguette-rustique-cuite-sur-place-carrefour-3276550243427?t=29019,," 0,60 ",, la baguette de 250g  2.40 € / KG , la baguette de 250g , 2.40 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 2.40 € / KG 
 Baguette sans sel ,https://www.carrefour.fr/p/baguette-sans-sel-3523680276246?t=29019,," 1,09 ",, la baguette de 250 g  4.36 € / KG , la baguette de 250 g , 4.36 € / KG ,,, 4.36 € / KG 
 Baguette campagnarde FILIERE QUALITE CARREFOUR ,https://www.carrefour.fr/p/baguette-campagnarde-filiere-qualite-carrefour-3276558853451?t=29019,," 0,99 ",, 250g  la baguette de 250g  3.96 € / KG , la baguette de 250g , 3.96 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-qualityline.svg, 250g 
 Baguetine campagne FILIERE QUALITE CARREFOUR ,https://www.carrefour.fr/p/baguetine-campagne-filiere-qualite-carrefour-3276559529683?t=29019,," 0,75 ",, 125g  la baguette de 125g  6.00 € / KG , la baguette de 125g , 6.00 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-qualityline.svg, 125g 
 Déjeunettes viennoises ,https://www.carrefour.fr/p/dejeunettes-viennoises-3276550564805?t=29019,," 1,65 ",, 2 pièces  les 2 déjeunettes de 125g  6.60 € / KG , les 2 déjeunettes de 125g , 6.60 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-origin-france.svg, 2 pièces 
 Baguette à l'épeautre FILIERE QUALITE CARREFOUR ,https://www.carrefour.fr/p/baguette-a-l-epeautre-filiere-qualite-carrefour-3523680330139?t=29019,," 1,40 ",, 250g  la baguette de 250g  5.60 € / KG , la baguette de 250g , 5.60 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-qualityline.svg, 250g 
 Baguette campagnarde FILIERE QUALITE CARREFOUR ,https://www.carrefour.fr/p/baguette-campagnarde-filiere-qualite-carrefour-3276550087069?t=29019,," 0,99 ",, 250g  la baguette de 250g  3.96 € / KG , la baguette de 250g , 3.96 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-qualityline.svg, 250g 
 Baguette CARREFOUR ,https://www.carrefour.fr/p/baguette-carrefour-3276551080656?t=29019,," 0,99 ",, 250g  la baguette de 250g  3.96 € / KG , la baguette de 250g , 3.96 € / KG ,,, 250g 
 Baguetines rustiques ,https://www.carrefour.fr/p/baguetines-rustiques-3523680285873?t=29019,," 2,70 ",, 5 pièces  le lot de 5 de 125g  4.32 € / KG , le lot de 5 de 125g , 4.32 € / KG ,,, 5 pièces 
 Baguette Rustique CARREFOUR ,https://www.carrefour.fr/p/baguette-rustique-carrefour-3276559526460?t=29019,," 0,99 ",, 250g  la baguette de 250g  3.96 € / KG , la baguette de 250g , 3.96 € / KG ,,, 250g 
 Baguettes ,https://www.carrefour.fr/p/baguettes-3276555770003?t=29019,," 5,90 ",, 11 pièces  le lot de 10 + 1 offerte  2.15 € / KG , le lot de 10 + 1 offerte , 2.15 € / KG ,,, 11 pièces 
 Baguette céréales CARREFOUR ,https://www.carrefour.fr/p/baguette-cereales-carrefour-3276550002307?t=29019,," 1,19 ",, 250g  la baguette de 250g  4.76 € / KG , la baguette de 250g , 4.76 € / KG ,,, 250g 
 Baguettes ,https://www.carrefour.fr/p/baguettes-3289664183404?t=29019,," 2,95 ",, 5 pièces  le lot de 5  2.36 € / KG , le lot de 5 , 2.36 € / KG ,,, 5 pièces 
 Baguette pauvre en sel ,https://www.carrefour.fr/p/baguette-pauvre-en-sel-3276550264965?t=29019,," 0,99 ",, la pièce  la baguette - 250g  3.96 € / KG , la baguette - 250g , 3.96 € / KG ,,, la pièce 
 Déjeunettes ,https://www.carrefour.fr/p/dejeunettes-3276550564607?t=29019,," 1,89 ",, 4 pièces  le lot de 4 - 400g  3.78 € / KG , le lot de 4 - 400g , 3.78 € / KG ,,, 4 pièces 
 Déjeunettes ,https://www.carrefour.fr/p/dejeunettes-3276550564416?t=29019,," 4,30 ",, le lot de 10 - 1 kg  3.44 € / KG , le lot de 10 - 1 kg , 3.44 € / KG ,,, 3.44 € / KG 
 Déjeunette rustiques CARREFOUR ,https://www.carrefour.fr/p/dejeunette-rustiques-carrefour-3523680298743?t=29019,," 2,00 ",, 3 pièces  le lot de 3 - 300g  6.67 € / KG , le lot de 3 - 300g , 6.67 € / KG ,,, 3 pièces 
 Déjeunettes ,https://www.carrefour.fr/p/dejeunettes-3523680255845?t=29019,," 5,00 ",," 12 pièces  le lot de 10 + 2 offertes - 1,2Kg  4.17 € / KG "," le lot de 10 + 2 offertes - 1,2Kg ", 4.17 € / KG ,,, 12 pièces 
 Baguette ,https://www.carrefour.fr/p/baguette-3523680244863?t=29019,," 0,59 ",, 250g  la baguette de 250g  2.36 € / KG , la baguette de 250g , 2.36 € / KG ,,, 250g 
 Pain ,https://www.carrefour.fr/p/pain-3276550575733?t=29019,," 0,89 ",, 400g  le pain de 400g  2.22 € / KG , le pain de 400g , 2.22 € / KG ,,, 400g 
 Pâtes JO coquillettes CARREFOUR SENSATION ,https://www.carrefour.fr/p/pates-jo-coquillettes-carrefour-sensation-3560071359942?t=2143,https://media.carrefour.fr/medias/9452858a4b443556bd2379a998c7bcae/p_200x200/3560071359942-photosite-2023111-225515-1.jpg," 0,99 ",, 400g  la boite de 400g  2.48 € / KG , la boite de 400g , 2.48 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 400g 
 Pâtes JO Penne CARREFOUR SENSATION ,https://www.carrefour.fr/p/pates-jo-penne-carrefour-sensation-3560071359973?t=2143,https://media.carrefour.fr/medias/976da63305883f61ab49b595bf32242e/p_200x200/3560071359973-0.png," 0,99 ",, la boite de 400g  2.48 € / KG , la boite de 400g , 2.48 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 2.48 € / KG 
 Pâtes macaroni CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/pates-macaroni-carrefour-classic-3560070329151?t=2143,https://media.carrefour.fr/medias/d4140d109a33333d88483363847025a6/p_200x200/3560070329151-0.jpg," 1,55 ", Prime Nutri-Score A , 1Kg  le paquet d'1Kg  1.55 € / KG , le paquet d'1Kg , 1.55 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 1Kg 
 Riz Basmati CARREFOUR EXTRA ,https://www.carrefour.fr/p/riz-basmati-carrefour-extra-3560070837984?t=2143,," 2,79 ",, 1Kg  le paquet d'1Kg  2.79 € / KG , le paquet d'1Kg , 2.79 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 1Kg 
 Riz Thaï CARREFOUR EXTRA ,https://www.carrefour.fr/p/riz-thai-carrefour-extra-3270190124153?t=2143,https://media.carrefour.fr/medias/3e0447440b22344bac71c08d4380897f/p_200x200/3270190124153-0.jpg," 2,25 ",, 1Kg  le paquet d'1Kg  2.25 € / KG , le paquet d'1Kg , 2.25 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-b.svg, 1Kg 
 Pâtes Coquillettes CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/pates-coquillettes-carrefour-classic-3560070328918?t=2143,https://media.carrefour.fr/medias/239992496011368bb3e3ccb139f14872/p_200x200/3560070328918-0.jpg," 1,55 ", Prime Nutri-Score A , 1Kg  le paquet d'1Kg  1.55 € / KG , le paquet d'1Kg , 1.55 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 1Kg 
 Pâtes fusilli CARREFOUR ,https://www.carrefour.fr/p/pates-fusilli-carrefour-3560070329038?t=2143,," 1,55 ", Prime Nutri-Score A , 1Kg  le paquet de 1 kg  1.55 € / KG , le paquet de 1 kg , 1.55 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 1Kg 
 Pâtes Farfalle CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/pates-farfalle-carrefour-classic-3560070553990?t=2143,," 1,75 ", Prime Nutri-Score A , 1Kg  le paquet d'1Kg  1.75 € / KG , le paquet d'1Kg , 1.75 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 1Kg 
 Pâtes Spaghetti CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/pates-spaghetti-carrefour-classic-3560070328888?t=2143,," 1,55 ", Prime Nutri-Score A , 1Kg  le paquet d'1Kg  1.55 € / KG , le paquet d'1Kg , 1.55 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 1Kg 
 Riz long grain incollable 10 min CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/riz-long-grain-incollable-10-min-carrefour-classic-3560070822294?t=2143,," 1,70 ", Prime Nutri-Score A , 1Kg  la boite d'1Kg  1.70 € / KG , la boite d'1Kg , 1.70 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 1Kg 
 Pâtes Penne rigate CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/pates-penne-rigate-carrefour-classic-3560070554027?t=2143,," 1,69 ", Prime Nutri-Score A , 1Kg  le paquet d'1Kg  1.69 € / KG , le paquet d'1Kg , 1.69 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 1Kg 
 Pâtes Coquillettes CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/pates-coquillettes-carrefour-classic-3560070328857?t=2143,," 0,85 ", Prime Nutri-Score A , 500g  le paquet de 500g  1.70 € / KG , le paquet de 500g , 1.70 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 500g 
 Pâtes Spaghetti CARREFOUR ,https://www.carrefour.fr/p/pates-spaghetti-carrefour-3560070328970?t=2143,," 0,79 ", Prime Nutri-Score A , 500g  le paquet de 500g  1.58 € / KG , le paquet de 500g , 1.58 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 500g 
 Pâtes Fusilli CARREFOUR CLASSIC' ,https://www.carrefour.fr/p/pates-fusilli-carrefour-classic-3560070328826?t=2143,," 0,85 ", Prime Nutri-Score A , 500g  le paquet de 500g  1.70 € / KG , le paquet de 500g , 1.70 € / KG ,,https://www.carrefour.fr/images/badges/flag-nutriscore-a.svg, 500g 
 Riz basmati CARREFOUR BIO ,https://www.carrefour.fr/p/riz-basmati-carrefour-bio-3560070393619?t=2143,," 1,75 ", Prime Bio , 500g  le paquet de 500g  3.50 € / KG , le paquet de 500g , 3.50 € / KG ,,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 500g 
