web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706545424-43","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Activia",""
"1706545424-44","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Yaourt bifidus pruneau",""
"1706545424-45","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 4 pots de 125 g - 500g",""
"1706545424-46","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Activia",""
"1706545424-47","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Bifidus aux fruits ananas",""
"1706545424-48","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 4 pots de 125g - 500g",""
"1706545424-49","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Activia",""
"1706545424-50","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Bifidus aux fruits abricot",""
"1706545424-51","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 4 pots de 125g - 500g",""
"1706545424-52","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Pâturages",""
"1706545424-53","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Vita Pause - Spécialité laitière pêche",""
"1706545424-54","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 2 pots de 150 g",""
"1706545424-55","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Pâturages",""
"1706545424-56","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Vita Pause - Spécialité laitière crème de citron",""
"1706545424-57","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 2 pots de 150 g",""
"1706545424-58","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Pâturages",""
"1706545424-59","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Vita Pause - Spécialité laitière mangue passion",""
