web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706545146-60","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Patates DOUCES",""
"1706545146-61","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-62","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 500g (soit 1 patate douce)",""
"1706545146-63","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","ESPAGNE",""
"1706545146-64","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-65","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Echalotes TRADITIONELLES",""
"1706545146-66","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-67","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 100 gr (soit 4 échalotes)",""
"1706545146-68","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-69","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-70","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Avocat AFFINE",""
"1706545146-71","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-72","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","vendu à la pièce",""
"1706545146-73","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","ISRAEL",""
"1706545146-74","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Mon Marché Plaisir",""
"1706545146-75","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Avocats HASS mûrs à point",""
"1706545146-76","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-77","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","les 2 avocats",""
"1706545146-78","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","ISRAEL",""
"1706545146-79","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-80","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Poivrons VERTS",""
"1706545146-81","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-82","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 200 gr (soit 1 poivron)",""
"1706545146-83","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","ESPAGNE",""
"1706545146-84","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-85","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Brocolis",""
"1706545146-86","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-87","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 500 gr (soit 1 bouquet)",""
"1706545146-88","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","ESPAGNE",""
"1706545146-89","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-90","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Chou FLEUR",""
"1706545146-91","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-92","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","vendu à la pièce",""
"1706545146-93","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-94","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-95","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Champignons BLANCS",""
"1706545146-96","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. EXTRA",""
"1706545146-97","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 120 gr (soit 4 champignons)",""
"1706545146-98","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-99","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-100","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Concombre",""
"1706545146-101","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-102","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","vendu à la pièce",""
"1706545146-103","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-104","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-105","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Tomate ALLONGEE",""
"1706545146-106","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-107","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 120g environ (soit 1 tomate)",""
"1706545146-108","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","ESPAGNE",""
"1706545146-109","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-110","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Salade SUCRINE",""
"1706545146-111","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-112","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","la barquette de 3 pièces",""
"1706545146-113","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","ESPAGNE",""
"1706545146-114","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-115","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Gingembre",""
"1706545146-116","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-117","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 150 gr (soit 1 racine)",""
"1706545146-118","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","BRESIL",""
"1706545146-119","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Mon Marché Plaisir",""
"1706545146-120","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Carottes",""
"1706545146-121","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-122","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","le sachet de 1,5 kg",""
"1706545146-123","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-124","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
