web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706543106-61","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mon Marché Plaisir",""
"1706543106-62","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Oranges à DESSERT",""
"1706543106-63","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-64","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","le filet de 2 kg",""
"1706543106-65","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","ESPAGNE",""
"1706543106-66","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-67","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Lime",""
"1706543106-68","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-69","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac - à partir de 75 gr (soit 1 lime)",""
"1706543106-70","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","BRESIL",""
"1706543106-71","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-72","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Poires WILLIAM'S VERTES",""
"1706543106-73","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-74","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac - à partir de 250 gr (soit 1 poire)",""
"1706543106-75","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","ITALIE",""
"1706543106-76","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mon Marché Plaisir Bio",""
"1706543106-77","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Pommes GALA BIO",""
"1706543106-78","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 2",""
"1706543106-79","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","la barquette de 6 fruits",""
"1706543106-80","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-81","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mon Marché Plaisir",""
"1706543106-82","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Citrons BIO",""
"1706543106-83","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 2",""
"1706543106-84","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","le filet de 4 citrons",""
"1706543106-85","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","ESPAGNE",""
"1706543106-86","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-87","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Poires COMICE",""
"1706543106-88","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-89","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac - à partir de 250 gr (soit 1 poire)",""
"1706543106-90","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-91","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mon Marché Plaisir",""
"1706543106-92","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mandarines à DESSERT",""
"1706543106-93","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-94","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","le filet de 2 kg",""
"1706543106-95","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","ESPAGNE",""
"1706543106-96","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-97","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Ananas",""
"1706543106-98","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-99","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","vendu à la pièce",""
"1706543106-100","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","COSTA RICA",""
"1706543106-101","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-102","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Pomelo",""
"1706543106-103","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-104","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","vendu à la pièce",""
"1706543106-105","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","ESPAGNE",""
"1706543106-106","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Petit prix",""
"1706543106-107","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Oranges",""
"1706543106-108","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-109","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","le filet de 1,5 kg",""
"1706543106-110","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","ESPAGNE",""
"1706543106-111","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Petit prix",""
"1706543106-112","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Citrons JAUNE",""
"1706543106-113","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 2",""
"1706543106-114","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","le filet de 1 kg",""
"1706543106-115","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","ESPAGNE",""
"1706543106-116","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-117","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mangue AFFINEE",""
"1706543106-118","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-119","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","la pièce",""
"1706543106-120","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","PEROU",""
"1706543106-121","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-122","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Pommes GOLDEN",""
"1706543106-123","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-124","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","le sachet de 2Kg",""
"1706543106-125","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-126","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-127","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Noix SECHES",""
"1706543106-128","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-129","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac - à partir de 50 gr (soit 1 poignée)",""
"1706543106-130","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-131","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mon Marché Plaisir",""
"1706543106-132","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Pommes GRANNY SMITH",""
